311Year,311Reports,CitationYear,Citation Report,311Month,311MonthRep,CitationMonth,CitationMonthRep
2014,774,2010,117,January,715,January,452
2015,3173,2011,219,February,302,February,409
2016,1384,2012,210,March,356,March,595
2017,618,2013,261,April,513,April,503
2018,621,2014,541,May,822,May,355
2019,352,2015,832,June,1035,June,378
,,2016,959,July,1047,July,419
,,2017,583,August,177,August,469
,,2018,875,September,904,September,472
,,2019,767,October,569,October,486
,,,,November,297,November,400
,,,,December,185,December,429